Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
RX-78-2 Gundam Ver.Ka ;1/100;Master Grade;MG Gundam;2002;6820;612;30,32
RX-78-3 G-3 Gundam ;1/100;Master Grade;MG MSV;;5471,45;481;23,69
RX-78-3 G-3 Gundam Ver.2.0 ;1/100;Master Grade;MG MSV;2009;8370;667;39,8
RX-78-4 Gundam G04 ;1/100;Master Grade;MG Other Gundam;2003;6386;617;26,53
RX-78-5 Gundam G05 ;1/100;Master Grade;MG Other Gundam;2003;6386;636;26,53
RX-78/C.A. Char`s Gundam ;1/100;Master Grade;MG MSV;2002;6820;640;28,43
RX-78NT1 Gundam NT-1 ;1/100;Master Grade;MG Other Gundam;;6200;612;28,43
RX-79;1/100;Master Grade;MG Other Gundam;2000;6200;612;28,43
RX-79;1/100;Master Grade;MG Other Gundam;;7283,64;656;28,43
RX-93 Nu Gundam ;1/100;Master Grade;MG Char`s Counter Attack;2000;15405;931;47,38
RX-93 Nu Gundam Ver.Ka ;1/100;Master Grade;MG Char`s Counter Attack;2012;13496,56;1163;66,33
RX-93 Nu Gundam Ver.Ka Titanium Finish ;1/100;Master Grade;MG Char`s Counter Attack;2013;14508;1240;151,61
RX-93-2 Hi-v Gundam ;1/100;Master Grade;MG Char`s Counter Attack;2007;17591,87;1187;66,33
Sengoku Astray Gundam ;1/100;Master Grade;MG Build Fighters;2014;11678,16;785;47,38
Shin Musha Gundam ;1/100;Master Grade;MG Other Gundam;2008;;931;47,38
Shin Musha Gundam `Sengoku no Jin` ;1/100;Master Grade;MG Other Gundam;2009;15337;1163;75,8
Sword Impulse Gundam ;1/100;Master Grade;MG Gundam SEED;2009;11778,82;823;42,64
Unicorn Gundam ;1/100;Master Grade;MG Gundam UC;2016;13496,56;1052;113,7
Unicorn Gundam 03 Phenex ;1/100;Master Grade;MG Gundam UC;2014;15899,52;1142;113,7
Unicorn Gundam HD Color +MS CAGE ;1/100;Master Grade;MG Gundam UC;2010;22455,64;1409;71,07
Universe Booster ;1/100;Master Grade;MG Build Fighters;2014;4389;426;26,53
V-Dash Gundam Ver.Ka ;1/100;Master Grade;MG V Gundam;2010;11243,7;958;54,96
V2 Gundam Ver.Ka ;1/100;Master Grade;MG V Gundam;2015;8328,46;645;42,64
WD-M01 Turn A Gundam ;1/100;Master Grade;MG Other Gundam;2007;8552,41;623;36,01
Wing Gundam Proto Zero EW ;1/100;Master Grade;MG Gundam W;2013;10306,46;730;45,48
XM-X1 Crossbone Gundam X1 Full Cloth ;1/100;Master Grade;MG Other Gundam;2007;11485,5;840;42,64
XM-X1 Crossbone Gundam X1 Ver.Ka ;1/100;Master Grade;MG Other Gundam;2006;7006;531;33,16
XXXG-00W0 Wing Gundam Zero Custom ;1/100;Master Grade;MG Gundam W;2004;9504;805;36,01
XXXG-01D Gundam Deathscythe EW Ver. ;1/100;Master Grade;MG Gundam W;2010;7006;543;36,01
XXXG-01S Shenlong Gundam EW Ver. ;1/100;Master Grade;MG Gundam W;2011;7028,6;522;36,01
XXXG-01W Wing Gundam ;1/100;Master Grade;MG Gundam W;2010;7130;591;37,9
XXXG-01W Wing Gundam EW Ver. ;1/100;Master Grade;MG Gundam W;2011;7028,6;606;33,16
XXXG-01W Wing Gundam Ver.Ka ;1/100;Master Grade;MG Gundam W;2004;8844,22;735;33,16
YMS-15 Gyan ;1/100;Master Grade;MG Gundam;2006;8872,66;735;34,11
Z Gundam Ver.2.0 HD Color ;1/100;Master Grade;MG Z Gundam;2009;;931;47,38
ZGMF-X10A Freedom Gundam ;1/100;Master Grade;MG Gundam SEED;2004;13327,42;879;36,01
ZGMF-X19A Infinite Justice Gundam ;1/100;Master Grade;MG Gundam SEED;2008;11514,95;853;47,38
